672																
3600																
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
100		1.00E-13		25		0.333		0.208		0		0.125		0		0
